BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS,CATEGORY_ID
BELLS,Beer,20510,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
CAPTAIN MORGAN,Spirits,20410,2def9983-9d56-4872-a5b9-7aa8bbc2331c
MISSION,Bread,20283,f1a38ab2-67a0-4863-9802-2b16a181e722
WRITE DUDES,Household Supplies,20155,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
HOSTESS,Snack Cakes,20047,1b73d119-48ec-4d6b-97df-f93a9b4f1003
BARCEL TAKIS,Chips,19778,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
MCALISTERS DELI,Tea,19776,f78c4b56-a1a6-4972-a0b3-6514ad98fd27
DORITOS,Fruit & Vegetable Snacks,19733,0f6c46e7-8a8c-422e-8005-7d178a688da5
LAY'S,Chips,19665,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
GASOLINA,Spirits,19597,2def9983-9d56-4872-a5b9-7aa8bbc2331c
WET ONES,Bath & Body,19489,47fae368-9b64-40be-82c9-898f953e9d66
BEST BRANDS,Bath & Body,19308,47fae368-9b64-40be-82c9-898f953e9d66
RC,Carbonated Soft Drinks,18869,b3028295-932d-49df-afbc-52dce9cce8c7
CASEYS GEN STORE,Candy,18755,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
STAEDTLER,Household Supplies,18633,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
SUN,Bath & Body,18475,47fae368-9b64-40be-82c9-898f953e9d66
PURE SILK,Hair Removal,18292,539953fe-50bf-4a00-8a21-c64752d6ed7e
VELVEETA,Cheese,18211,0619fda2-db1e-42c4-87ef-457ae91fca72
SARA LEE,Bread,18136,f1a38ab2-67a0-4863-9802-2b16a181e722
DOGFISH HEAD,Beer,18094,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
SPRITE,Carbonated Soft Drinks,18091,b3028295-932d-49df-afbc-52dce9cce8c7
BEN AND JERRYS,Frozen Desserts,18085,38160828-1029-4505-9849-673773c5fad3
PILLSBURY,Refrigerated Doughs,17488,10fb25a2-7e2f-4a7d-8976-f11b700d6e47
KINGS HAWAIIAN,Bread,17460,f1a38ab2-67a0-4863-9802-2b16a181e722
USH BLUEBERRIES,Fruit & Vegetable Snacks,17404,0f6c46e7-8a8c-422e-8005-7d178a688da5
STUDIO SELECTION,Bath & Body,17378,47fae368-9b64-40be-82c9-898f953e9d66
AQUAFINA,Water,17209,aecbba3a-7958-4b78-8a93-9215b963e9a7
BREYERS,Frozen Desserts,16732,38160828-1029-4505-9849-673773c5fad3
INNOVATIONS,Bath & Body,16729,47fae368-9b64-40be-82c9-898f953e9d66
TOWER VODKA,Spirits,16644,2def9983-9d56-4872-a5b9-7aa8bbc2331c
MARGARITAVILLE,Malt Beverages,16638,6b770f8d-09b5-4491-8bbb-31ee38645b20
BODYARMOR,Sports Drinks,16466,bd33436d-a5de-4fd6-90f1-4f1fb4db0189
OCEAN SPRAY,Fruit Juices,16428,87459c51-6dc1-4064-9fb4-51e399187f2c
MCALISTERS DELI,Wine,16286,ca1c0f4d-3efc-4978-8357-69862996f416
SPRITE ZERO,Carbonated Soft Drinks,16224,b3028295-932d-49df-afbc-52dce9cce8c7
RONI,Rice & Grains,16172,91d3f006-deed-4553-83bb-1719543a1689
HAAGEN-DAZS,Frozen Desserts,16090,38160828-1029-4505-9849-673773c5fad3
COLGATE TOOTHPASTE,Oral Care,16047,abe5c72f-1b1e-4d84-876a-bb584260c247
BORRASCA,Wine,16024,ca1c0f4d-3efc-4978-8357-69862996f416
TWIX,Candy,16006,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
MALIBU RTD,Spirits,15919,2def9983-9d56-4872-a5b9-7aa8bbc2331c
HEINZ,Sauces & Marinades,15913,e88983eb-6ae9-40e6-97a9-e77a2294c3fe
DOVE,Bath & Body,15821,47fae368-9b64-40be-82c9-898f953e9d66
SIMPLY LEMONADE,Fruit Juices,15810,87459c51-6dc1-4064-9fb4-51e399187f2c
SKITTLES,Candy,15809,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
DISH WORKS,Bath & Body,15794,47fae368-9b64-40be-82c9-898f953e9d66
DAWN EZ SQUEEZE,Bath & Body,15761,47fae368-9b64-40be-82c9-898f953e9d66
MINUTE MAID,Fruit Juices,15542,87459c51-6dc1-4064-9fb4-51e399187f2c
CASEYS GEN STORE,Energy Drinks,15351,b7588815-8b82-46c4-aa05-cc96a0d1524d
KELLOGGS,"Cereal, Granola, & Toaster Pastries",15322,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4
KELLOGGS,Packaged Vegetables,15124,ef70e81c-e88f-419c-9cb4-c008ae0eb29a
MILLER LITE,Beer,14951,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
GOOD CHEMISTRY,Deodorant & Antiperspirant,14938,03577242-2690-4bad-916c-eb7d6c2e0ee2
STELLA ROSA,Wine,14729,ca1c0f4d-3efc-4978-8357-69862996f416
CAPRI SUN,Fruit Juices,14493,87459c51-6dc1-4064-9fb4-51e399187f2c
HELLMANN'S/BEST FOODS,Condiments,14461,1f01bdf4-7c65-4995-adfb-9080b75b0129
LIFESAVERS,Candy,14431,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
NEUTROGENA,Hair Removal,14188,539953fe-50bf-4a00-8a21-c64752d6ed7e
SNYDERS OF HANOVER,Pretzels,14162,e2600179-20fc-4d9e-8cfe-7a564a3e4518
DAWN SIMPLY CLEAN,Bath & Body,14154,47fae368-9b64-40be-82c9-898f953e9d66
WEGMANS,Bath & Body,14036,47fae368-9b64-40be-82c9-898f953e9d66
CHEEZ IT,Crackers,13919,6c9b520a-9049-417a-8487-7053b9d2d8f8
CHOBANI,Yogurt,13790,e246975c-322e-4e31-aa4b-a22eabe581d1
GLACEAU,Water,13782,aecbba3a-7958-4b78-8a93-9215b963e9a7
WHITE CLAW HARD SELTZER,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",13614,d5cba6a8-9ac7-40dd-9692-f9e890a48ca4
KIT KAT,Candy,13468,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
ARM & HAMMER,Hair Care,13316,e9535290-dc96-45be-bd4a-6e687880a059
TYSON,Packaged Meat,13220,e73f7957-0e65-4466-9588-795bdc5f67ac
GAMESA,Candy,13176,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
Oscar Mayer,Prepared Meals,13151,397f9b41-5196-4e19-96e1-e8783201b375
TOTINOS,Frozen Pizza & Pizza Snacks,12992,7445be6b-29f8-4abb-a35f-8df1c8ad87c4
MODELO,Beer,12918,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
PREDO,Wine,12917,ca1c0f4d-3efc-4978-8357-69862996f416
EXTRA,Gum,12828,c99c5725-4d9b-404a-8438-5cf1dc4f12c3
GILLETTE VENUS,Hair Removal,12805,539953fe-50bf-4a00-8a21-c64752d6ed7e
CASEYS GEN STORE,Cookies,12766,ee7d461c-afec-4dd8-b06e-c3de3ea040fe
SMIRNOFF ICE,Malt Beverages,12684,6b770f8d-09b5-4491-8bbb-31ee38645b20
SMIRNOFF,Spirits,12404,2def9983-9d56-4872-a5b9-7aa8bbc2331c
HEINEKEN,Beer,12374,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
KNORR,Cooking & Baking,12359,09f3decc-aa93-460d-936c-0ddf06b055a3
GOLD PEAK,Tea,12342,f78c4b56-a1a6-4972-a0b3-6514ad98fd27
PREGO,Red Pasta Sauce,12265,1f7d2fa7-a1d7-4969-aaf4-1244f232c175
CREST,Oral Care,12191,abe5c72f-1b1e-4d84-876a-bb584260c247
LUXURY EDITION,Wine,12165,ca1c0f4d-3efc-4978-8357-69862996f416
Lance,Fruit & Vegetable Snacks,11858,0f6c46e7-8a8c-422e-8005-7d178a688da5
STARBURST,Candy,11713,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
HERSHEYS WHOPPERS,Candy,11605,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
JIMMY DEAN,"Cereal, Granola, & Toaster Pastries",11604,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4
ED,Wine,11404,ca1c0f4d-3efc-4978-8357-69862996f416
FRITO LAY,Chips,11380,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
CLOROX FRAGANZIA,Bath & Body,11301,47fae368-9b64-40be-82c9-898f953e9d66
MCALISTERS DELI,Fruit Juices,11220,87459c51-6dc1-4064-9fb4-51e399187f2c
BELVINO,Wine,11218,ca1c0f4d-3efc-4978-8357-69862996f416
BAILEYS,Spirits,11177,2def9983-9d56-4872-a5b9-7aa8bbc2331c
HEINZ,Condiments,11135,1f01bdf4-7c65-4995-adfb-9080b75b0129
PARENTS CHOICE,Bath & Body,11123,47fae368-9b64-40be-82c9-898f953e9d66
PURE LEAF,Tea,11091,f78c4b56-a1a6-4972-a0b3-6514ad98fd27
NEW BELGIUM PRIMUS MURAL VARIETY PACK,Beer,10990,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
DR PEPPER,Cooking & Baking,10983,09f3decc-aa93-460d-936c-0ddf06b055a3
LIPTON BOTTLED ICED TEA,Tea,10898,f78c4b56-a1a6-4972-a0b3-6514ad98fd27
CHEERIOS,"Cereal, Granola, & Toaster Pastries",10876,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4
PAPERMATE,Household Supplies,10866,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
Kit Kat,Candy,10839,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
HIDDEN VALLEY RANCH,Dips & Salsa,10661,451e3832-bc4c-4dd3-bbbb-5e33d134a765
M&M'S,Candy,10622,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
PEPPERIDGE FARM,Crackers,10613,6c9b520a-9049-417a-8487-7053b9d2d8f8
SLIM JIM,Jerky & Dried Meat,10553,867f38b4-3abe-4717-860b-fb734c817197
BOUNTY,Household Supplies,10542,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
MINUTE MAID PREMIUM,Fruit Juices,10540,87459c51-6dc1-4064-9fb4-51e399187f2c
CLOUD BREAK,Wine,10532,ca1c0f4d-3efc-4978-8357-69862996f416
SIERRA,Hair Removal,10451,539953fe-50bf-4a00-8a21-c64752d6ed7e
FOLGERS,Coffee,10431,01edb86e-b0b3-41c9-a756-2914b850157d
DIET COKE CAFFEINE FREE,Carbonated Soft Drinks,10275,b3028295-932d-49df-afbc-52dce9cce8c7
MALTA INDIA,Beer,10229,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
SMUCKERS UNCRUSTABLES,Nut Butters & Jam,10208,2a2ad3c4-41df-484c-833c-26744a4d9610
CELSIUS,Carbonated Soft Drinks,10203,b3028295-932d-49df-afbc-52dce9cce8c7
ARIZONA,Fruit Juices,10113,87459c51-6dc1-4064-9fb4-51e399187f2c
KRAFT,Dips & Salsa,10084,451e3832-bc4c-4dd3-bbbb-5e33d134a765
DIGIORNO,Frozen Pizza & Pizza Snacks,9994,7445be6b-29f8-4abb-a35f-8df1c8ad87c4
BALL PARK POP UPS,Bread,9922,f1a38ab2-67a0-4863-9802-2b16a181e722
RAGU,Red Pasta Sauce,9894,1f7d2fa7-a1d7-4969-aaf4-1244f232c175
EVRIHOLDER,Bath & Body,9839,47fae368-9b64-40be-82c9-898f953e9d66
Pace,Cooking & Baking,9698,09f3decc-aa93-460d-936c-0ddf06b055a3
CHEX MIX,Snack Mixes,9680,f66f4433-e6ec-483c-95b4-8114d70aae34
BACARDI PARTY DRINKS BACARDI USA,Spirits,9661,2def9983-9d56-4872-a5b9-7aa8bbc2331c
JOSE CUERVO,Spirits,9653,2def9983-9d56-4872-a5b9-7aa8bbc2331c
BAREFOOT,Wine,9584,ca1c0f4d-3efc-4978-8357-69862996f416
FOUR LOKO PREGAME,Malt Beverages,9550,6b770f8d-09b5-4491-8bbb-31ee38645b20
RAGU,Sauces & Marinades,9385,e88983eb-6ae9-40e6-97a9-e77a2294c3fe
SWEETWATER,Beer,9349,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
TOSTITOS,Dips & Salsa,9299,451e3832-bc4c-4dd3-bbbb-5e33d134a765
PERDUE,Packaged Meat,9254,e73f7957-0e65-4466-9588-795bdc5f67ac
Prego,Sauces & Marinades,9112,e88983eb-6ae9-40e6-97a9-e77a2294c3fe
LAND O LAKES,Prepared Meals,9072,397f9b41-5196-4e19-96e1-e8783201b375
BARQ'S,Carbonated Soft Drinks,9003,b3028295-932d-49df-afbc-52dce9cce8c7
JIM BEAM,Spirits,8964,2def9983-9d56-4872-a5b9-7aa8bbc2331c
CASEYS GEN STORE,Puffed Snacks,8920,3dcfe6dc-3445-4ba7-b11e-8238a5d41be7
MUG ROOT BEER,Carbonated Soft Drinks,8824,b3028295-932d-49df-afbc-52dce9cce8c7
BACARDI,Spirits,8777,2def9983-9d56-4872-a5b9-7aa8bbc2331c
LIVE FOR TOMORROW,Bath & Body,8769,47fae368-9b64-40be-82c9-898f953e9d66
NERDS,Candy,8738,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
CLOROX,Cooking & Baking,8730,09f3decc-aa93-460d-936c-0ddf06b055a3
BANQUET,Frozen Meals,8693,f72793bd-721f-4d0f-8086-3b211446dd4b
BETTY CROCKER,Packaged Meat,8677,e73f7957-0e65-4466-9588-795bdc5f67ac
TASTY,Wine,8640,ca1c0f4d-3efc-4978-8357-69862996f416
KAHLUA,Spirits,8579,2def9983-9d56-4872-a5b9-7aa8bbc2331c
SANTITAS,Chips,8567,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
OLD SPICE,Deodorant & Antiperspirant,8557,03577242-2690-4bad-916c-eb7d6c2e0ee2
BUTTERCREAM,Wine,8517,ca1c0f4d-3efc-4978-8357-69862996f416
CELSIUS,Sports Drinks,8479,bd33436d-a5de-4fd6-90f1-4f1fb4db0189
LOW HANGING FRUIT,Wine,8450,ca1c0f4d-3efc-4978-8357-69862996f416
ARNOLD BROWNBERRY OROWEAT,Bread,8390,f1a38ab2-67a0-4863-9802-2b16a181e722
USH BLUEBERRIES,Candy,8385,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
KELLOGGS,Rice & Grains,8368,91d3f006-deed-4553-83bb-1719543a1689
LIPTON,Tea,8313,f78c4b56-a1a6-4972-a0b3-6514ad98fd27
PALO VIEJO PALO READY,Spirits,8249,2def9983-9d56-4872-a5b9-7aa8bbc2331c
MISSION,Chips,8246,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
DUNKIN,Coffee,8244,01edb86e-b0b3-41c9-a756-2914b850157d
NATURE'S BAKERY,Bakery,8244,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec
CINNAMON TOAST CRUNCH,"Cereal, Granola, & Toaster Pastries",8237,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4
Swanson,Soup & Broth,8208,c1348b24-5f57-4ad6-bc81-a114368acb19
CANYON OAKS,Wine,8141,ca1c0f4d-3efc-4978-8357-69862996f416
MCALISTERS DELI,Cookies,8133,ee7d461c-afec-4dd8-b06e-c3de3ea040fe
CARSON RIDGE,Wine,8114,ca1c0f4d-3efc-4978-8357-69862996f416
SMUCKER'S UNCRUSTABLES,Frozen Vegetables,8054,0b5e15f3-f1ee-40fe-9e81-cac225799ebe
IMPERIAL,Butter & Margarine,8028,cf3de8d5-b587-47b9-9720-2f89d2a2a85a
SOUTHERN TIER BREWING COMPANY,Beer,8019,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
KROGER HOME SENSE,Bath & Body,8014,47fae368-9b64-40be-82c9-898f953e9d66
SPICE WORLD,Cooking & Baking,7982,09f3decc-aa93-460d-936c-0ddf06b055a3
SNACK PACK,Snack Mixes,7938,f66f4433-e6ec-483c-95b4-8114d70aae34
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,0f6c46e7-8a8c-422e-8005-7d178a688da5
SARA LEE ARTESANO,Bakery,7912,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec
BIMBO BREAD,Bread,7888,f1a38ab2-67a0-4863-9802-2b16a181e722
SIMPLY ORANGE,Fruit Juices,7874,87459c51-6dc1-4064-9fb4-51e399187f2c
HONEY BUNCHES OF OATS,"Cereal, Granola, & Toaster Pastries",7865,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4
TIDE,Laundry Supplies,7861,1f782a22-5092-48ab-907c-847bf2fd4468
RUFFLES,Fruit & Vegetable Snacks,7855,0f6c46e7-8a8c-422e-8005-7d178a688da5
PREDO,Baby Bathing,7852,0d566b71-e49a-4b83-a340-25b921e8437f
GROVE CO,Bath & Body,7754,47fae368-9b64-40be-82c9-898f953e9d66
LUNCHABLES,Prepared Meals,7748,397f9b41-5196-4e19-96e1-e8783201b375
BLUE BUFFALO,Cooking & Baking,7745,09f3decc-aa93-460d-936c-0ddf06b055a3
SPALIFE,Bath & Body,7680,47fae368-9b64-40be-82c9-898f953e9d66
SIMPLE TRUTH,Bath & Body,7675,47fae368-9b64-40be-82c9-898f953e9d66
OLD EL PASO,Bread,7670,f1a38ab2-67a0-4863-9802-2b16a181e722
GERBER,Baby Bathing,7637,0d566b71-e49a-4b83-a340-25b921e8437f
SCOTT,Household Supplies,7619,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
PROPEL,Drink Mixes,7619,84011112-b553-402a-9950-998bf7affd63
FIELD AND FARM,Wine,7605,ca1c0f4d-3efc-4978-8357-69862996f416
SUNKIST,Carbonated Soft Drinks,7587,b3028295-932d-49df-afbc-52dce9cce8c7
FRITO-LAY,Chips,7585,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
LAGUNITAS,Beer,7582,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
TWIZZLERS,Candy,7571,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
BACARDI PARTY DRINKS,Spirits,7481,2def9983-9d56-4872-a5b9-7aa8bbc2331c
COOL WHIP,Frozen Desserts,7462,38160828-1029-4505-9849-673773c5fad3
PROGRESSO,Soup & Broth,7459,c1348b24-5f57-4ad6-bc81-a114368acb19
HELLMANNS BEST FOODS,Condiments,7427,1f01bdf4-7c65-4995-adfb-9080b75b0129
KIND,Frozen Meals,7392,f72793bd-721f-4d0f-8086-3b211446dd4b
MCALISTERS DELI,Carbonated Soft Drinks,7387,b3028295-932d-49df-afbc-52dce9cce8c7
BERTOLLI,Frozen Meals,7341,f72793bd-721f-4d0f-8086-3b211446dd4b
